"","Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID"
"GO:0043535","GO:0043535","regulation of blood vessel endothelial cell migration",157,16,0.101910828025478,3.18874063397522,5.00388062562821,4.44046057008551e-05,0.000916767188544927,"PPARG, ANGPT1, ANXA1, SRPX2, PLK2, HMOX1, GAB1, STAT5A, ATP2B4, THBS1, MAP2K3, ITGB1BP1, STARD13, PRCP, MEOX2, MMRN1"
"GO:0045766","GO:0045766","positive regulation of angiogenesis",192,18,0.09375,2.93339226289517,4.89261841742649,4.63254552190529e-05,0.000953435775227133,"HMOX1, GAB1, TJP1, JAK1, ITGB2, PAK4, SFRP2, C3, HSPB6, ITGB1, THBS1, CYP1B1, RTN4, ADM, HYAL1, AQP1, VEGFB, ANGPTL4"
"GO:0010874","GO:0010874","regulation of cholesterol efflux",54,9,0.166666666666667,5.21491957848031,5.63576530942137,4.82178876335326e-05,0.000983167207289306,"PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, SREBF2, RXRA, NR1H3"
"GO:0061430","GO:0061430","bone trabecula morphogenesis",14,5,0.357142857142857,11.1748276681721,6.91982446224784,5.16560833267144e-05,0.00104038827152826,"SFRP1, FBN2, PPARGC1B, MMP2, COL1A1"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway",111,13,0.117117117117117,3.66453808217535,5.1157727672682,5.43499578923509e-05,0.00109130738621653,"COL3A1, LAMA5, ITGB5, ITGA6, THY1, FUT8, ITGB4, ITGB2, DST, ITGB1, ITGB1BP1, ITGA8, ITGBL1"
"GO:0050878","GO:0050878","regulation of body fluid levels",388,28,0.0721649484536082,2.25800641542446,4.54954765483946,5.63909640935994e-05,0.00112884768851199,"COL3A1, CD36, SVEP1, F13A1, ANGPT1, CSRP1, NPR1, ANGPTL2, CD9, STAT5A, MYO5B, ADRA2A, ANXA5, P2RY1, ANO6, ITPR3, THBS1, ADM, PROS1, AQP1, SLC4A1, FBLN1, ANXA2, IL6ST, MMRN1, PAPSS2, NR1H3, ANGPTL4"
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus",308,24,0.0779220779220779,2.43814421851028,4.62387509041779,5.77261066921949e-05,0.00115207314749938,"COL3A1, PPARG, CDKN2B, DDR2, FBN1, TSKU, ITGB5, DKK3, FUT8, HTRA1, SFRP1, FBN2, PMEPA1, THBS1, PRDM16, FOS, COL1A1, COL1A2, POSTN, ACTA2, ITGA8, NPNT, BCL9L, DAB2"
"GO:0006096","GO:0006096","glycolytic process",97,12,0.123711340206186,3.87086814072765,5.15067771256071,6.09398942462354e-05,0.00121253819790244,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0009410","GO:0009410","response to xenobiotic stimulus",453,31,0.0684326710816777,2.14122525738927,4.46742962043764,6.23706030568509e-05,0.00123726744497717,"ACSL1, AKR1C1, AGPAT2, AOX1, ALDH2, PLIN2, COL6A1, FZD1, NQO1, GPX1, CAT, ACACB, EPHX1, HSP90AA1, PTCH1, SFRP2, SFRP1, ABCC9, TFRC, MMP2, THBS1, CYP1B1, FOS, COL1A1, NCKAP1L, MAOB, FZD3, SLC1A1, FMO2, HADHA, STAT1"
"GO:0031032","GO:0031032","actomyosin structure organization",215,19,0.0883720930232558,2.76512014858956,4.72969081424982,6.45312151904372e-05,0.00127628403376643,"KRT19, PLEC, CSRP1, ITGB5, NEBL, EPB41L3, MYH14, MYH11, TJP1, EPB41, ARHGEF10, EPB41L1, STMN1, SFRP1, ITGB1, CLASP2, ITGB1BP1, TMOD1, S1PR1"
"GO:0010886","GO:0010886","positive regulation of cholesterol storage",8,4,0.5,15.6447587354409,7.52769280718743,6.52632202715907e-05,0.00128689691230149,"CD36, LPL, MSR1, SREBF2"
"GO:1903829","GO:1903829","positive regulation of protein localization",499,33,0.0661322645290581,2.06924664637094,4.39855862207202,7.07610812798138e-05,0.00139114173525031,"IGF1, ASPH, PPARG, MAPT, ORMDL3, CHP1, EPB41, HSP90AA1, JAK1, BICD1, LRP1, SYT11, TRIM8, ITGB2, SREBF2, TFRC, ATP2B4, ITGB1, AACS, RTN4, ITGB1BP1, OAZ1, SQSTM1, MICALL2, AKT2, ERBB2, LRP4, NMT1, ANK3, KAT7, ACSL4, SLC5A3, FZD5"
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process",130,14,0.107692307692308,3.36964034301805,4.92609462410142,7.21782176103766e-05,0.00141477899161292,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, PDE1A, NUPR1, HK1, SLC4A1, LDHA, PDE8B"
"GO:1903034","GO:1903034","regulation of response to wounding",181,17,0.0939226519337017,2.93879445859111,4.76226457404426,7.30384937046142e-05,0.00142739323305219,"CD36, DMTN, PTPRF, DDR2, ANXA1, KANK1, CD9, ADRA2A, MAP2K1, ANO6, ITGB1, THBS1, CLASP2, PROS1, VEGFB, ANXA2, MMRN1"
"GO:0060070","GO:0060070","canonical Wnt signaling pathway",333,25,0.0750750750750751,2.34906287318933,4.51311386801795,7.4456517835489e-05,0.00144885505006388,"FZD4, IGFBP6, GPC3, COL6A1, FZD1, KANK1, DKK3, FZD2, TLE2, SOX13, DACT1, SFRP2, SFRP1, PLEKHA4, FOXD1, APC2, COL1A1, FZD3, LRP4, FZD5, LRRK2, NR4A2, BCL9L, CSNK1E, DAB2"
"GO:0046032","GO:0046032","ADP catabolic process",99,12,0.121212121212121,3.79266878434932,5.06203923255619,7.45766568435555e-05,0.00144885505006388,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0010594","GO:0010594","regulation of endothelial cell migration",236,20,0.0847457627118644,2.65165402295609,4.63937808544648,7.51552961644507e-05,0.00145298113430893,"SPARC, PPARG, ANGPT1, ANXA1, SERPINF1, SRPX2, PLK2, HMOX1, GAB1, LGMN, STAT5A, ATP2B4, THBS1, NR2F2, MAP2K3, ITGB1BP1, STARD13, PRCP, MEOX2, MMRN1"
"GO:0010889","GO:0010889","regulation of triglyceride storage",15,5,0.333333333333333,10.4298391569606,6.63843134989292,7.54508879340501e-05,0.00145298113430893,"PPARG, PLIN2, LPL, PNPLA2, OSBPL8"
"GO:2000052","GO:2000052","positive regulation of non-canonical Wnt signaling pathway",15,5,0.333333333333333,10.4298391569606,6.63843134989292,7.54508879340501e-05,0.00145298113430893,"GPC3, SFRP1, PLEKHA4, CSNK1E, DAB2"
"GO:0014812","GO:0014812","muscle cell migration",115,13,0.11304347826087,3.53707588801273,4.95857254216581,7.87093721229086e-05,0.00149961088927296,"IGF1, THBS4, DDR2, ANXA1, SIX1, LRP1, DOCK5, SEMA6D, NET1, CYP1B1, ITGB1BP1, POSTN, IGFBP3"
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus",45,8,0.177777777777778,5.56258088371233,5.56774530341555,7.87830804264265e-05,0.00149961088927296,"CD36, PPARG, LPL, CD68, CD9, ITGB2, SREBF2, ITGB1"
"GO:0050435","GO:0050435","amyloid-beta metabolic process",71,10,0.140845070422535,4.4069742916735,5.22590748087645,8.23275442232762e-05,0.00156256255404754,"CD36, IGF1, SPON1, RTN3, LRP1, NTRK2, RTN4, LRP4, CLU, CSNK1E"
"GO:0015918","GO:0015918","sterol transport",132,14,0.106060606060606,3.31858518630565,4.85715449515934,8.52781361296776e-05,0.00160469087014302,"CD36, PPARG, PLTP, TSKU, EEPD1, MSR1, LRP1, PTCH1, NFKBIA, SREBF2, CLU, RXRA, ANXA2, NR1H3"
"GO:0006584","GO:0006584","catecholamine metabolic process",58,9,0.155172413793103,4.85526995237822,5.34295903479436,8.61932258560921e-05,0.001612694845137,"MAOA, ALDH2, NPR1, ITGB2, MAOB, SLC1A1, NR4A2, MOXD1, PDE1B"
"GO:0009712","GO:0009712","catechol-containing compound metabolic process",58,9,0.155172413793103,4.85526995237822,5.34295903479436,8.61932258560921e-05,0.001612694845137,"MAOA, ALDH2, NPR1, ITGB2, MAOB, SLC1A1, NR4A2, MOXD1, PDE1B"
"GO:0150063","GO:0150063","visual system development",419,29,0.0692124105011933,2.16562292757894,4.38430146637009,8.77051413809578e-05,0.00163633445080733,"FZD4, SOS1, SERPINF1, EFEMP1, FBN1, CHRDL1, TSKU, PXDN, CRYAB, THY1, COL8A2, FBN2, C3, ATP2B4, COL8A1, COL5A2, NFIB, NTRK2, JAG1, CYP1B1, FOS, INHBA, TMOD1, NHS, AQP1, TMEM135, SLC1A1, FZD5, HCN1"
"GO:0019364","GO:0019364","pyridine nucleotide catabolic process",101,12,0.118811881188119,3.71756643218398,4.97568127590896,9.07652598668401e-05,0.0016886440719859,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0006911","GO:0006911","phagocytosis, engulfment",46,8,0.173913043478261,5.44165521232728,5.48021833018288,9.27288872997806e-05,0.00172031676551086,"CD36, MSR1, GSN, ITGB2, ANO6, C3, THBS1, NCKAP1L"
"GO:0009135","GO:0009135","purine nucleoside diphosphate metabolic process",117,13,0.111111111111111,3.47661305232021,4.88257158593433,9.40926869881356e-05,0.0017358387577139,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, TJP2, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0009179","GO:0009179","purine ribonucleoside diphosphate metabolic process",117,13,0.111111111111111,3.47661305232021,4.88257158593433,9.40926869881356e-05,0.0017358387577139,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, TJP2, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0009137","GO:0009137","purine nucleoside diphosphate catabolic process",102,12,0.117647058823529,3.68111970245669,4.9333235215008,9.99344615214217e-05,0.00182318106254871,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0009181","GO:0009181","purine ribonucleoside diphosphate catabolic process",102,12,0.117647058823529,3.68111970245669,4.9333235215008,9.99344615214217e-05,0.00182318106254871,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0048009","GO:0048009","insulin-like growth factor receptor signaling pathway",102,12,0.117647058823529,3.68111970245669,4.9333235215008,9.99344615214217e-05,0.00182318106254871,"IGF1, AR, IGFBP6, DDR2, SOS1, COL6A1, GHR, MAP2K1, NTRK2, ERBB2, IGFBP3, GRB2"
"GO:0034249","GO:0034249","negative regulation of amide metabolic process",35,7,0.2,6.25790349417637,5.65709458815302,0.000101426276715261,0.00184020236486697,"IGF1, SPON1, ORMDL3, RTN3, NTRK2, RTN4, CLU"
"GO:0055088","GO:0055088","lipid homeostasis",186,17,0.0913978494623656,2.85979460755372,4.6315059266995,0.000102369569222008,0.00185221423872567,"AKR1C1, PPARG, GPAM, LPL, PNPLA2, TSKU, ORMDL3, ACACA, INSIG1, FABP4, ACOX1, DGAT1, SREBF2, RTN4, TLCD2, NR1H3, ANGPTL4"
"GO:0006898","GO:0006898","receptor-mediated endocytosis",280,22,0.0785714285714286,2.45846208699786,4.46759704718852,0.000102993620276677,0.00185839995381423,"CD36, ANGPT1, LYVE1, GHR, B2M, CD9, MSR1, BICD1, LRP1, VLDLR, ITGB2, TFRC, C3, ITSN1, ITGB1, SIGLEC1, ADM, PDLIM7, CLU, ANXA2, DAB2, GRB2"
"GO:0009612","GO:0009612","response to mechanical stimulus",223,19,0.0852017937219731,2.66592301321415,4.54715831646934,0.00010512385896088,0.00189165501397912,"PLEC, DDR2, DMD, COL6A1, USP53, BNIP3, GSN, PTCH1, NFKBIA, P2RY1, CXCL12, MMP2, THBS1, FOS, COL1A1, AQP1, POSTN, TNC, STAT1"
"GO:0072350","GO:0072350","tricarboxylic acid metabolic process",16,5,0.3125,9.77797420965058,6.38236154820143,0.000106869147769495,0.00191260925872253,"IDH1, ACO1, ACACB, CS, ACLY"
"GO:0006694","GO:0006694","steroid biosynthetic process",169,16,0.0946745562130177,2.96232118067521,4.65603286091168,0.000107488592941792,0.00191848204096109,"ASAH1, ACAA2, DKK3, INSIG1, ACLY, DHCR24, DHCR7, EBP, MVD, SREBF2, CYP19A1, AKR1C3, INHBA, ADM, PDE8B, DAB2"
"GO:0046683","GO:0046683","response to organophosphorus",135,14,0.103703703703704,3.24483884883219,4.75618609286311,0.00010879550829412,0.00193656004763534,"AKR1C1, DMTN, ASPH, GPD1, ABCC9, P2RY1, ENPP1, CYP1B1, FOS, COL1A1, AQP1, HCN1, GUCD1, STAT1"
"GO:0010878","GO:0010878","cholesterol storage",25,6,0.24,7.50948419301165,5.91762895837816,0.000109519837030708,0.00193897216850602,"CD36, PPARG, LPL, MSR1, SREBF2, NR1H3"
"GO:0070542","GO:0070542","response to fatty acid",60,9,0.15,4.69342762063228,5.20644685068864,0.000113060942284873,0.0019962985680648,"ACSL1, AKR1C1, CD36, SCD, AKR1C2, PDK4, LPL, CAT, AKR1C3"
"GO:0006633","GO:0006633","fatty acid biosynthetic process",170,16,0.0941176470588235,2.94489576196535,4.62844423907951,0.000115225281763589,0.00202366321518666,"SCD, PDK4, PTGDS, ACSS2, LPL, FASN, ACACA, ELOVL5, ACACB, GPX4, INSIG1, LPGAT1, ACLY, MGLL, AKR1C3, NR1H3"
"GO:0048880","GO:0048880","sensory system development",426,29,0.068075117370892,2.13003757430886,4.28662693718444,0.000116994621489983,0.00204617116527674,"FZD4, SOS1, SERPINF1, EFEMP1, FBN1, CHRDL1, TSKU, PXDN, CRYAB, THY1, COL8A2, FBN2, C3, ATP2B4, COL8A1, COL5A2, NFIB, NTRK2, JAG1, CYP1B1, FOS, INHBA, TMOD1, NHS, AQP1, TMEM135, SLC1A1, FZD5, HCN1"
"GO:0033344","GO:0033344","cholesterol efflux",74,10,0.135135135135135,4.22831317174079,5.05580109758946,0.000117567014944041,0.00204617116527674,"PPARG, PLTP, TSKU, EEPD1, LRP1, PTCH1, NFKBIA, SREBF2, RXRA, NR1H3"
"GO:0009261","GO:0009261","ribonucleotide catabolic process",136,14,0.102941176470588,3.2209797396496,4.72315792465862,0.000117794873743738,0.00204617116527674,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, PDE1A, NUPR1, HK1, SLC4A1, LDHA, PDE8B"
"GO:0034219","GO:0034219","carbohydrate transmembrane transport",136,14,0.102941176470588,3.2209797396496,4.72315792465862,0.000117794873743738,0.00204617116527674,"IGF1, GPC3, AQP7, ACACB, SLC23A2, C3, ENPP1, RHOQ, PEA15, AKT2, AQP1, SLC2A5, SLC5A3, OSBPL8"
"GO:0072526","GO:0072526","pyridine-containing compound catabolic process",104,12,0.115384615384615,3.61032893894791,4.85018647813077,0.000120681437524769,0.00208611009852526,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0002605","GO:0002605","negative regulation of dendritic cell antigen processing and presentation",4,3,0.75,23.4671381031614,8.16518858357104,0.000126845965238783,0.00215311218315109,"CD68, FGL2, THBS1"
"GO:0009753","GO:0009753","response to jasmonic acid",4,3,0.75,23.4671381031614,8.16518858357104,0.000126845965238783,0.00215311218315109,"AKR1C1, AKR1C2, AKR1C3"
"GO:0033489","GO:0033489","cholesterol biosynthetic process via desmosterol",4,3,0.75,23.4671381031614,8.16518858357104,0.000126845965238783,0.00215311218315109,"DHCR24, DHCR7, EBP"
"GO:0033490","GO:0033490","cholesterol biosynthetic process via lathosterol",4,3,0.75,23.4671381031614,8.16518858357104,0.000126845965238783,0.00215311218315109,"DHCR24, DHCR7, EBP"
"GO:0035879","GO:0035879","plasma membrane lactate transport",4,3,0.75,23.4671381031614,8.16518858357104,0.000126845965238783,0.00215311218315109,"SLC16A7, ACACB, SLC16A1"
"GO:0071395","GO:0071395","cellular response to jasmonic acid stimulus",4,3,0.75,23.4671381031614,8.16518858357104,0.000126845965238783,0.00215311218315109,"AKR1C1, AKR1C2, AKR1C3"
"GO:0006639","GO:0006639","acylglycerol metabolic process",137,14,0.102189781021898,3.19746893863026,4.69043450783694,0.000127432522497642,0.00215750795159247,"ACSL1, AGPAT2, GPAM, LPL, PNPLA2, LIPE, GPX1, CAT, INSIG1, LPGAT1, DGAT1, MGLL, C3, NR1H3"
"GO:0010562","GO:0010562","positive regulation of phosphorus metabolic process",493,32,0.0649087221095335,2.03096259445886,4.21480437401495,0.000128180188140171,0.00215906577772677,"CD36, IGF1, THBS4, AR, ANGPT1, DDR2, FBN1, GHR, ITGA6, CHP1, GPD1, ADRA2A, GFRA1, MAP2K1, SFRP2, P2RY1, TFRC, C3, GPNMB, CD4, ENO1, NTRK2, PPARGC1B, THBS1, MAP2K3, ITGB1BP1, ERBB2, LRP4, VEGFB, LRRK2, TNKS1BP1, DAB2"
"GO:0045937","GO:0045937","positive regulation of phosphate metabolic process",493,32,0.0649087221095335,2.03096259445886,4.21480437401495,0.000128180188140171,0.00215906577772677,"CD36, IGF1, THBS4, AR, ANGPT1, DDR2, FBN1, GHR, ITGA6, CHP1, GPD1, ADRA2A, GFRA1, MAP2K1, SFRP2, P2RY1, TFRC, C3, GPNMB, CD4, ENO1, NTRK2, PPARGC1B, THBS1, MAP2K3, ITGB1BP1, ERBB2, LRP4, VEGFB, LRRK2, TNKS1BP1, DAB2"
"GO:0031102","GO:0031102","neuron projection regeneration",61,9,0.147540983606557,4.61648618422847,5.14043099880378,0.000128923891686069,0.00216605293531748,"PTPRF, MAPK8IP3, THY1, MATN2, PRRX1, MAP2K1, MMP2, ADM, TNC"
"GO:0043087","GO:0043087","regulation of GTPase activity",172,16,0.0930232558139535,2.91065278798901,4.57386716586629,0.000132170776683622,0.00220707645596868,"DOCK11, PLXNB1, ITGA6, RGS6, THY1, ARHGEF10, STMN1, SFRP1, NET1, ITGB1, NTRK2, APC2, RAP1GAP, ITGB1BP1, LRRK2, RASGRP2"
"GO:0009191","GO:0009191","ribonucleoside diphosphate catabolic process",105,12,0.114285714285714,3.57594485381507,4.80938286196935,0.000132370968737873,0.00220707645596868,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0046031","GO:0046031","ADP metabolic process",105,12,0.114285714285714,3.57594485381507,4.80938286196935,0.000132370968737873,0.00220707645596868,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0006638","GO:0006638","neutral lipid metabolic process",138,14,0.101449275362319,3.17429887385758,4.65801051124033,0.000137745750764467,0.00228512220285839,"ACSL1, AGPAT2, GPAM, LPL, PNPLA2, LIPE, GPX1, CAT, INSIG1, LPGAT1, DGAT1, MGLL, C3, NR1H3"
"GO:0090314","GO:0090314","positive regulation of protein targeting to membrane",26,6,0.230769230769231,7.22065787789581,5.76720917780388,0.000138554619255814,0.00228701935443307,"CHP1, ITGB2, ITGB1BP1, AKT2, ERBB2, ANK3"
"GO:2000050","GO:2000050","regulation of non-canonical Wnt signaling pathway",26,6,0.230769230769231,7.22065787789581,5.76720917780388,0.000138554619255814,0.00228701935443307,"GPC3, DACT1, SFRP1, PLEKHA4, CSNK1E, DAB2"
"GO:0090596","GO:0090596","sensory organ morphogenesis",286,22,0.0769230769230769,2.4068859592986,4.35624292366516,0.000139958009703099,0.00230440862976152,"SPARC, EFEMP1, SIX1, FBN1, TSKU, FZD2, INSIG1, THY1, PRRX1, COL8A2, FBN2, COL8A1, COL5A2, NTRK2, JAG1, LRIG3, FZD3, AQP1, SLC1A1, FZD5, HCN1, ITGA8"
"GO:1905477","GO:1905477","positive regulation of protein localization to membrane",106,12,0.113207547169811,3.54220952500549,4.7690736263035,0.00014501714889435,0.00238011040035918,"CHP1, LRP1, ITGB2, ATP2B4, ITGB1, ITGB1BP1, SQSTM1, AKT2, ERBB2, LRP4, ANK3, SLC5A3"
"GO:0010324","GO:0010324","membrane invagination",62,9,0.145161290322581,4.54202672964414,5.07583002322898,0.000146604618408544,0.00239513287339626,"CD36, MSR1, GSN, ITGB2, ANO6, C3, THBS1, NCKAP1L, SNX3"
"GO:0021955","GO:0021955","central nervous system neuron axonogenesis",37,7,0.189189189189189,5.91963844043711,5.4425696405426,0.000146922818228377,0.00239513287339626,"PLXNA4, TSKU, DCLK1, MYCBP2, NFIB, ARHGEF28, NR4A2"
"GO:0006081","GO:0006081","aldehyde metabolic process",76,10,0.131578947368421,4.11704177248446,4.94733213789957,0.000147535847526019,0.00239918788100336,"AKR1C1, IDH1, ALDH2, DKK3, PDXK, ALDH9A1, AKR1C3, CYP1B1, ALDH3A2, DAB2"
"GO:0006195","GO:0006195","purine nucleotide catabolic process",139,14,0.100719424460432,3.15146219131184,4.62588073599788,0.000148773518292131,0.00240152546929405,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, PDE1A, NUPR1, HK1, SLC4A1, LDHA, PDE8B"
"GO:0008360","GO:0008360","regulation of cell shape",139,14,0.100719424460432,3.15146219131184,4.62588073599788,0.000148773518292131,0.00240152546929405,"DMTN, ANXA1, PLXNB1, EPB41L3, PALM, MYH14, SH3KBP1, PARVB, ITGB2, ALDOA, P2RY1, RHOQ, FMNL1, SYNE3"
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization",139,14,0.100719424460432,3.15146219131184,4.62588073599788,0.000148773518292131,0.00240152546929405,"CD36, DMTN, ANGPT1, MAPT, CHP1, INSIG1, ADRA2A, SFRP1, RHBDF1, ITGB1BP1, SNX3, LRRK2, NR1H3, PDE8B"
"GO:0019395","GO:0019395","fatty acid oxidation",107,12,0.11214953271028,3.50910476308955,4.72924757504801,0.000158683157602491,0.00255522561361859,"PDK4, ACAA2, ACACB, ECHDC1, ECHS1, ACOX1, EHHADH, ABCC9, ADIPOR2, AKT2, FMO2, HADHA"
"GO:0016055","GO:0016055","Wnt signaling pathway",477,31,0.0649895178197065,2.03349065324389,4.15419758141967,0.000159189763894181,0.00255713118294409,"FZD4, IGFBP6, GPC3, COL6A1, FZD1, TSKU, KANK1, DKK3, FZD2, TLE2, SOX13, DACT1, LRP1, SFRP2, SFRP1, ROR1, CPE, PLEKHA4, FOXD1, APC2, COL1A1, FZD3, LRP4, APCDD1, SNX3, FZD5, LRRK2, NR4A2, BCL9L, CSNK1E, DAB2"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",350,25,0.0714285714285714,2.23496553363442,4.23751041272256,0.000163187033959552,0.0026149630307971,"IGF1, MTHFD1, COL6A1, PFKFB3, ALDOC, GPD1, NPR1, NME4, BCL2L13, TJP2, ALDOA, ABCC9, ENPP1, HSPA8, ENO1, PDE1A, NUPR1, HK1, RHOQ, SLC4A1, PAPSS2, LRRK2, LDHA, IMPDH1, PDE8B"
"GO:0032371","GO:0032371","regulation of sterol transport",77,10,0.12987012987013,4.06357369751712,4.89448428343256,0.000164784379506046,0.00262777221168721,"PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, SREBF2, RXRA, ANXA2, NR1H3"
"GO:0032374","GO:0032374","regulation of cholesterol transport",77,10,0.12987012987013,4.06357369751712,4.89448428343256,0.000164784379506046,0.00262777221168721,"PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, SREBF2, RXRA, ANXA2, NR1H3"
"GO:0008286","GO:0008286","insulin receptor signaling pathway",176,16,0.0909090909090909,2.84450158826199,4.46703689940285,0.000172689810887041,0.00273264244070252,"DDR2, PDK4, SOS1, COL6A1, SIK2, KANK1, GAB1, ZNF106, SESN3, ENPP1, NTRK2, RHOQ, AKT2, ERBB2, OSBPL8, GRB2"
"GO:0008643","GO:0008643","carbohydrate transport",141,14,0.099290780141844,3.10676059994572,4.56248369036747,0.000173137104611117,0.00273264244070252,"IGF1, GPC3, AQP7, ACACB, SLC23A2, C3, ENPP1, RHOQ, PEA15, AKT2, AQP1, SLC2A5, SLC5A3, OSBPL8"
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process",108,12,0.111111111111111,3.47661305232021,4.68989387041838,0.000173435247527126,0.00273264244070252,"IGF1, COL6A1, PFKFB3, ALDOC, GPD1, BCL2L13, ALDOA, ENO1, NUPR1, HK1, SLC4A1, LDHA"
"GO:0071711","GO:0071711","basement membrane organization",38,7,0.184210526315789,5.76385848147824,5.34111792451491,0.000175184972893397,0.00275362346414299,"COL3A1, COL6A1, PXDN, CTSS, ITGB1, NTN4, CLASP2"
"GO:0001654","GO:0001654","eye development",415,28,0.0674698795180723,2.11109997393902,4.15877347159241,0.000177099385705075,0.0027770870339372,"FZD4, SOS1, SERPINF1, EFEMP1, FBN1, CHRDL1, TSKU, PXDN, CRYAB, THY1, COL8A2, FBN2, ATP2B4, COL8A1, COL5A2, NFIB, NTRK2, JAG1, CYP1B1, FOS, INHBA, TMOD1, NHS, AQP1, TMEM135, SLC1A1, FZD5, HCN1"
"GO:0042327","GO:0042327","positive regulation of phosphorylation",437,29,0.0663615560640732,2.07642106786173,4.13686088115365,0.000180947451886923,0.00283068864163249,"CD36, IGF1, THBS4, AR, ANGPT1, DDR2, FBN1, GHR, ITGA6, ADRA2A, GFRA1, MAP2K1, SFRP2, P2RY1, TFRC, C3, GPNMB, CD4, NTRK2, PPARGC1B, THBS1, MAP2K3, ITGB1BP1, ERBB2, LRP4, VEGFB, LRRK2, TNKS1BP1, DAB2"
"GO:0015911","GO:0015911","long-chain fatty acid import across plasma membrane",10,4,0.4,12.5158069883527,6.61838696627892,0.000186014700579407,0.00288257133650817,"ACSL1, CD36, THBS1, AKT2"
"GO:0019614","GO:0019614","catechol-containing compound catabolic process",10,4,0.4,12.5158069883527,6.61838696627892,0.000186014700579407,0.00288257133650817,"MAOA, MAOB, MOXD1, PDE1B"
"GO:0042420","GO:0042420","dopamine catabolic process",10,4,0.4,12.5158069883527,6.61838696627892,0.000186014700579407,0.00288257133650817,"MAOA, MAOB, MOXD1, PDE1B"
"GO:0042424","GO:0042424","catecholamine catabolic process",10,4,0.4,12.5158069883527,6.61838696627892,0.000186014700579407,0.00288257133650817,"MAOA, MAOB, MOXD1, PDE1B"
"GO:0048608","GO:0048608","reproductive structure development",314,23,0.0732484076433121,2.29190733066969,4.19464229083433,0.000204937633022526,0.00316835504949849,"IDH1, FZD4, AR, SERPINF1, COL6A1, NCOA4, BOK, UBB, DHCR24, GFRA1, PTCH1, SLIT3, SFRP2, SFRP1, C3, CYP19A1, AKR1C3, NUPR1, MMP2, CYP1B1, INHBA, NR2F2, TNC"
"GO:0048675","GO:0048675","axon extension",110,12,0.109090909090909,3.41340190591439,4.61256185392012,0.000206478547939801,0.00318470191272021,"PLXNA4, MAPT, SEMA3G, DCLK1, SLIT3, SEMA6D, CXCL12, ITGB1, RTN4, CLASP2, L1CAM, AUTS2"
"GO:0035633","GO:0035633","maintenance of blood-brain barrier",39,7,0.179487179487179,5.61606723836341,5.24321320196617,0.000207684022414567,0.00319581068136061,"ANGPT1, DMD, TJP1, TJP2, ITGB1, JAM3, SLC1A1"
"GO:0008202","GO:0008202","steroid metabolic process",335,24,0.0716417910447761,2.24163707254079,4.16641542895446,0.000209653812036276,0.00321860141275271,"AKR1C1, ASAH1, AKR1C2, ACAA2, TSKU, LIPE, DKK3, CAT, LGMN, INSIG1, ACLY, DHCR24, VLDLR, DHCR7, EBP, MVD, SREBF2, CYP19A1, AKR1C3, CYP1B1, INHBA, ADM, PDE8B, DAB2"
